VAR,Variable,UNIT,Measure,Country,Year,Value
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Australia,2010,151.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Australia,2011,155.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Australia,2012,156.4
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Australia,2013,152.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Australia,2014,158.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Australia,2015,159.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Australia,2016,160.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Australia,2017,159
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Australia,2018,160.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Australia,2019,160.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Australia,2020,155.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Austria,2010,174.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Austria,2011,173.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Austria,2012,172.8
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Austria,2013,171.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Austria,2014,162.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Austria,2015,163.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Austria,2016,162.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Austria,2017,165.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Austria,2018,166
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Austria,2019,178.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Austria,2020,183.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Belgium,2010,161.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Belgium,2011,167.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Belgium,2012,161.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Belgium,2013,162.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Belgium,2014,161.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Belgium,2015,166.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Belgium,2016,165.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Belgium,2017,166.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Belgium,2018,163.4
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Belgium,2019,177
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Belgium,2020,179.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Canada,2010,144.8
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Canada,2011,150.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Canada,2012,141.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Canada,2013,142.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Canada,2014,157.1
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Canada,2015,158.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Canada,2016,157.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Canada,2017,157.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Canada,2018,159.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Canada,2019,158.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Canada,2020,161.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Czechia,2010,137.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Czechia,2011,133.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Czechia,2012,137
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Czechia,2013,137.1
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Czechia,2014,128.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Czechia,2015,125
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Czechia,2016,137.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Czechia,2017,140.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Czechia,2018,146
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Czechia,2019,150.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Czechia,2020,152.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Denmark,2010,126.8
